127.0.0.1 - - [24/Mar/2017:09:55:48 +0800] "GET / HTTP/1.1" 200 11444
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:55:50 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:55:50 +0800] "GET /MySystem/style.css HTTP/1.1" 200 3584
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:55:50 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 200 19110
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:55:50 +0800] "GET /MySystem/picture/npu1.jpg HTTP/1.1" 200 152299
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:56:07 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:56:07 +0800] "GET /MySystem/style.css HTTP/1.1" 200 3584
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:56:07 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 200 19110
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:56:07 +0800] "GET /MySystem/picture/npu1.jpg HTTP/1.1" 200 152299
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:56:14 +0800] "GET /MySystem/test/manage.jsp HTTP/1.1" 200 2063
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:56:14 +0800] "GET /MySystem/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:56:14 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:56:14 +0800] "GET /MySystem/picture/npu1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:56:17 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:56:17 +0800] "GET /MySystem/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:56:17 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:56:17 +0800] "GET /MySystem/picture/npu1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:56:29 +0800] "POST /MySystem/MainPageServlet HTTP/1.1" 200 11169
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:56:29 +0800] "GET /MySystem/styles.css HTTP/1.1" 200 3570
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:56:29 +0800] "GET /MySystem/bean/jquery-3.2.0.min.js HTTP/1.1" 200 86596
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:56:29 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:56:29 +0800] "GET /MySystem/picture/mess1.png HTTP/1.1" 200 3442
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:56:29 +0800] "GET /MySystem/picture/data1.png HTTP/1.1" 200 3785
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:56:30 +0800] "GET /MySystem/picture/pic1.jpg HTTP/1.1" 200 744994
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:57:08 +0800] "GET /MySystem/ArticleListServlet HTTP/1.1" 200 2696
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:57:08 +0800] "GET /MySystem/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:57:08 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:57:08 +0800] "GET /MySystem/picture/npu0.jpg HTTP/1.1" 200 240680
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:57:08 +0800] "GET /MySystem/picture/npu2.jpg HTTP/1.1" 200 188064
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:57:08 +0800] "GET /MySystem/picture/sys1.jpg HTTP/1.1" 200 194240
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:57:08 +0800] "GET /MySystem/picture/car6.jpg HTTP/1.1" 200 108449
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:57:13 +0800] "POST /MySystem/SelectServlet HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:57:16 +0800] "POST /MySystem/SelectServlet HTTP/1.1" 200 2696
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:57:18 +0800] "GET /MySystem/SelectServlet?name=%E5%A4%A7%E4%BC%97%E5%A5%A5%E8%BF%AA%E5%8F%91%E5%8A%A8%E6%9C%BA%E7%BB%B4%E4%BF%AE%E8%B5%84%E6%96%99 HTTP/1.1" 200 33515
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:57:18 +0800] "GET /MySystem/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:57:18 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:57:18 +0800] "GET /MySystem/picture/npu0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:57:18 +0800] "GET /MySystem/picture/sys1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:57:18 +0800] "GET /MySystem/picture/car6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:57:18 +0800] "GET /MySystem/picture/npu2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:57:38 +0800] "GET /MySystem/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:57:38 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:57:38 +0800] "GET /MySystem/picture/npu0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:57:38 +0800] "GET /MySystem/picture/sys1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:57:38 +0800] "GET /MySystem/picture/car6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:57:38 +0800] "GET /MySystem/picture/npu2.jpg HTTP/1.1" 304 -
