127.0.0.1 - - [13/Apr/2017:09:09:25 +0800] "GET / HTTP/1.1" 200 11444
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:09:27 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:09:27 +0800] "GET /MySystem/style.css HTTP/1.1" 200 4245
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:09:27 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 200 19110
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:09:27 +0800] "GET /MySystem/picture/npu1.jpg HTTP/1.1" 200 152299
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:09:46 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:09:46 +0800] "GET /MySystem/style.css HTTP/1.1" 200 4245
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:09:47 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 200 19110
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:09:47 +0800] "GET /MySystem/picture/npu1.jpg HTTP/1.1" 200 152299
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:09:49 +0800] "GET /MySystem/test/manage.jsp HTTP/1.1" 200 2063
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:09:59 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 11220
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:09:59 +0800] "GET /MySystem/styles.css HTTP/1.1" 200 3725
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:09:59 +0800] "GET /MySystem/bean/jquery-3.2.0.min.js HTTP/1.1" 200 86596
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:09:59 +0800] "GET /MySystem/picture/mess1.png HTTP/1.1" 200 3442
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:09:59 +0800] "GET /MySystem/picture/pic1.jpg HTTP/1.1" 200 744994
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:11:28 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 11246
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:11:28 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:13:04 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 11286
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:13:04 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:14:39 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 11594
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:14:39 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:16:13 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 11594
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:16:13 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:16:15 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 11594
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:16:15 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:16:22 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 11594
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:16:22 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:16:35 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 11594
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:16:35 +0800] "GET /MySystem/styles.css HTTP/1.1" 200 3725
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:16:35 +0800] "GET /MySystem/bean/jquery-3.2.0.min.js HTTP/1.1" 200 86596
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:16:35 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 200 19110
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:16:35 +0800] "GET /MySystem/picture/mess1.png HTTP/1.1" 200 3442
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:16:35 +0800] "GET /MySystem/picture/pic1.jpg HTTP/1.1" 200 744994
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:16:35 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:30:29 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 12281
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:30:29 +0800] "GET /MySystem/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:30:29 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:31:26 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 12273
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:31:26 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:31:34 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 12273
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:31:34 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:32:05 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 12273
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:32:05 +0800] "GET /MySystem/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:32:05 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:32:32 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 12273
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:32:32 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:33:15 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 12271
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:33:15 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:33:50 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 12286
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:33:50 +0800] "GET /MySystem/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:33:50 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:34:12 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 12285
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:34:12 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
